date,pm 2.5,stasiun,id_stasiun,Pollution Level
2023-09-27,65.0,Balikpapan Sepinggan,1,Moderate
2023-09-28,63.0,Balikpapan Sepinggan,1,Moderate
2023-09-29,57.0,Balikpapan Sepinggan,1,Moderate
2023-09-30,46.0,Balikpapan Sepinggan,1,Good
2023-10-01,37.0,Balikpapan Sepinggan,1,Good
2023-10-02,55.0,Balikpapan Sepinggan,1,Moderate
2023-10-03,54.0,Balikpapan Sepinggan,1,Moderate
2023-10-04,62.0,Balikpapan Sepinggan,1,Moderate
2023-10-05,64.0,Balikpapan Sepinggan,1,Moderate
2023-10-06,63.0,Balikpapan Sepinggan,1,Moderate
2023-10-07,59.0,Balikpapan Sepinggan,1,Moderate
2023-10-08,51.0,Balikpapan Sepinggan,1,Moderate
2023-10-09,54.0,Balikpapan Sepinggan,1,Moderate
2023-10-10,58.0,Balikpapan Sepinggan,1,Moderate
2023-10-11,60.0,Balikpapan Sepinggan,1,Moderate
2023-10-12,67.0,Balikpapan Sepinggan,1,Moderate
2023-10-13,67.0,Balikpapan Sepinggan,1,Moderate
2023-10-14,65.0,Balikpapan Sepinggan,1,Moderate
2023-10-15,62.0,Balikpapan Sepinggan,1,Moderate
2023-10-16,53.0,Balikpapan Sepinggan,1,Moderate
2023-10-17,65.0,Balikpapan Sepinggan,1,Moderate
2023-10-18,45.0,Balikpapan Sepinggan,1,Good
2023-10-19,59.0,Balikpapan Sepinggan,1,Moderate
2023-10-20,38.0,Balikpapan Sepinggan,1,Good
2023-10-21,54.0,Balikpapan Sepinggan,1,Moderate
2023-10-22,57.0,Balikpapan Sepinggan,1,Moderate
2023-10-23,60.0,Balikpapan Sepinggan,1,Moderate
2023-10-24,53.0,Balikpapan Sepinggan,1,Moderate
2023-10-25,65.0,Balikpapan Sepinggan,1,Moderate
2023-10-26,53.0,Balikpapan Sepinggan,1,Moderate
2023-10-27,65.0,Balikpapan Sepinggan,1,Moderate
2023-10-28,71.0,Balikpapan Sepinggan,1,Moderate
2023-10-29,71.0,Balikpapan Sepinggan,1,Moderate
2023-10-30,76.0,Balikpapan Sepinggan,1,Moderate
2023-10-31,66.0,Balikpapan Sepinggan,1,Moderate
2023-11-01,79.0,Balikpapan Sepinggan,1,Moderate
2023-11-02,72.0,Balikpapan Sepinggan,1,Moderate
2023-11-03,69.0,Balikpapan Sepinggan,1,Moderate
2023-11-04,67.0,Balikpapan Sepinggan,1,Moderate
2023-11-05,61.0,Balikpapan Sepinggan,1,Moderate
2023-11-06,51.0,Balikpapan Sepinggan,1,Moderate
2023-11-07,58.0,Balikpapan Sepinggan,1,Moderate
2023-11-08,58.0,Balikpapan Sepinggan,1,Moderate
2023-11-09,55.0,Balikpapan Sepinggan,1,Moderate
2023-11-10,71.0,Balikpapan Sepinggan,1,Moderate
2023-11-11,63.0,Balikpapan Sepinggan,1,Moderate
2023-11-12,68.0,Balikpapan Sepinggan,1,Moderate
2023-11-13,67.0,Balikpapan Sepinggan,1,Moderate
2023-11-14,57.0,Balikpapan Sepinggan,1,Moderate
2023-11-15,59.0,Balikpapan Sepinggan,1,Moderate
2023-11-16,62.0,Balikpapan Sepinggan,1,Moderate
2023-11-17,71.0,Balikpapan Sepinggan,1,Moderate
2023-11-20,54.0,Balikpapan Sepinggan,1,Moderate
2023-11-21,56.0,Balikpapan Sepinggan,1,Moderate
2023-11-22,56.0,Balikpapan Sepinggan,1,Moderate
2023-11-23,49.0,Balikpapan Sepinggan,1,Good
2023-11-24,48.0,Balikpapan Sepinggan,1,Good
2023-11-25,60.0,Balikpapan Sepinggan,1,Moderate
2023-11-26,67.0,Balikpapan Sepinggan,1,Moderate
2023-11-27,67.0,Balikpapan Sepinggan,1,Moderate
2023-11-28,65.0,Balikpapan Sepinggan,1,Moderate
2023-11-29,62.0,Balikpapan Sepinggan,1,Moderate
2023-11-30,53.0,Balikpapan Sepinggan,1,Moderate
2023-12-01,65.0,Balikpapan Sepinggan,1,Moderate
2023-12-02,45.0,Balikpapan Sepinggan,1,Good
2023-12-03,59.0,Balikpapan Sepinggan,1,Moderate
2023-12-08,38.0,Balikpapan Sepinggan,1,Good
2023-12-09,54.0,Balikpapan Sepinggan,1,Moderate
2023-12-10,57.0,Balikpapan Sepinggan,1,Moderate
2023-12-11,60.0,Balikpapan Sepinggan,1,Moderate
2023-12-12,53.0,Balikpapan Sepinggan,1,Moderate
2023-12-13,65.0,Balikpapan Sepinggan,1,Moderate
2023-12-14,53.0,Balikpapan Sepinggan,1,Moderate
2023-12-15,65.0,Balikpapan Sepinggan,1,Moderate
2023-12-16,71.0,Balikpapan Sepinggan,1,Moderate
2023-12-17,71.0,Balikpapan Sepinggan,1,Moderate
2023-12-18,76.0,Balikpapan Sepinggan,1,Moderate
2023-12-19,66.0,Balikpapan Sepinggan,1,Moderate
2023-12-20,79.0,Balikpapan Sepinggan,1,Moderate
2023-12-21,72.0,Balikpapan Sepinggan,1,Moderate
2023-12-22,69.0,Balikpapan Sepinggan,1,Moderate
2023-12-23,67.0,Balikpapan Sepinggan,1,Moderate
2023-12-24,61.0,Balikpapan Sepinggan,1,Moderate
2023-12-25,51.0,Balikpapan Sepinggan,1,Moderate
2023-12-26,58.0,Balikpapan Sepinggan,1,Moderate
2023-12-27,58.0,Balikpapan Sepinggan,1,Moderate
2023-12-28,55.0,Balikpapan Sepinggan,1,Moderate
