date,stasiun,pm 2.5,Pollution Level,Pollution Level Description,Predicted Pollution Level,Predicted Pollution Level Description
2023,Balikpapan Sepinggan,60.21111111111111,1,Moderate,1,Moderate
2023,Balikpapan sepinggan,95.93478260869566,1,Moderate,1,Moderate
2023,Banjar Baru Landasan Ulin,85.50292397660819,1,Moderate,1,Moderate
2023,Banjarmasin Kayu Tangi,86.26285714285714,1,Moderate,1,Moderate
2023,Kabupaten Barito Selatan Sanggu,79.16,1,Moderate,1,Moderate
2023,Kabupaten Kotawaringin Timur,90.11602209944752,1,Moderate,1,Moderate
2023,Kabupaten Sanggau Kapuas,74.06818181818181,1,Moderate,1,Moderate
2023,Pontianak Tenggara Sungai Bangkong,110.53529411764706,2,Unhealthy for Sensitive Groups,2,Unhealthy for Sensitive Groups
2023,Samarinda,66.39344262295081,1,Moderate,1,Moderate
2024,Balikpapan Sepinggan,59.0,1,Moderate,1,Moderate
2024,Balikpapan sepinggan,124.67857142857143,2,Unhealthy for Sensitive Groups,2,Unhealthy for Sensitive Groups
2024,Banjar Baru Landasan Ulin,115.2258064516129,2,Unhealthy for Sensitive Groups,2,Unhealthy for Sensitive Groups
2024,Banjarmasin Kayu Tangi,100.62711864406779,2,Unhealthy for Sensitive Groups,2,Unhealthy for Sensitive Groups
2024,Kabupaten Barito Selatan Sanggu,121.40983606557377,2,Unhealthy for Sensitive Groups,2,Unhealthy for Sensitive Groups
2024,Kabupaten Kotawaringin Timur,111.27868852459017,2,Unhealthy for Sensitive Groups,2,Unhealthy for Sensitive Groups
2024,Kabupaten Sanggau Kapuas,114.85245901639344,2,Unhealthy for Sensitive Groups,2,Unhealthy for Sensitive Groups
2024,Pontianak Tenggara Sungai Bangkong,115.20967741935483,2,Unhealthy for Sensitive Groups,2,Unhealthy for Sensitive Groups
2024,Samarinda,86.89830508474576,1,Moderate,1,Moderate
