date,pm 2.5,stasiun
9/27/23,65,Balikpapan Sepinggan
9/28/23,63,Balikpapan Sepinggan
9/29/23,57,Balikpapan Sepinggan
9/30/23,46,Balikpapan Sepinggan
10/1/23,37,Balikpapan Sepinggan
10/2/23,55,Balikpapan Sepinggan
10/3/23,54,Balikpapan Sepinggan
10/4/23,62,Balikpapan Sepinggan
10/5/23,64,Balikpapan Sepinggan
10/6/23,63,Balikpapan Sepinggan
10/7/23,59,Balikpapan Sepinggan
10/8/23,51,Balikpapan Sepinggan
10/9/23,54,Balikpapan Sepinggan
10/10/23,58,Balikpapan Sepinggan
10/11/23,60,Balikpapan Sepinggan
10/12/23,67,Balikpapan Sepinggan
10/13/23,67,Balikpapan Sepinggan
10/14/23,65,Balikpapan Sepinggan
10/15/23,62,Balikpapan Sepinggan
10/16/23,53,Balikpapan Sepinggan
10/17/23,65,Balikpapan Sepinggan
10/18/23,45,Balikpapan Sepinggan
10/19/23,59,Balikpapan Sepinggan
10/20/23,38,Balikpapan Sepinggan
10/21/23,54,Balikpapan Sepinggan
10/22/23,57,Balikpapan Sepinggan
10/23/23,60,Balikpapan Sepinggan
10/24/23,53,Balikpapan Sepinggan
10/25/23,65,Balikpapan Sepinggan
10/26/23,53,Balikpapan Sepinggan
10/27/23,65,Balikpapan Sepinggan
10/28/23,71,Balikpapan Sepinggan
10/29/23,71,Balikpapan Sepinggan
10/30/23,76,Balikpapan Sepinggan
10/31/23,66,Balikpapan Sepinggan
11/1/23,79,Balikpapan Sepinggan
11/2/23,72,Balikpapan Sepinggan
11/3/23,69,Balikpapan Sepinggan
11/4/23,67,Balikpapan Sepinggan
11/5/23,61,Balikpapan Sepinggan
11/6/23,51,Balikpapan Sepinggan
11/7/23,58,Balikpapan Sepinggan
11/8/23,58,Balikpapan Sepinggan
11/9/23,55,Balikpapan Sepinggan
11/10/23,71,Balikpapan Sepinggan
11/11/23,63,Balikpapan Sepinggan
11/12/23,68,Balikpapan Sepinggan
11/13/23,67,Balikpapan Sepinggan
11/14/23,57,Balikpapan Sepinggan
11/15/23,59,Balikpapan Sepinggan
11/16/23,62,Balikpapan Sepinggan
11/17/23,71,Balikpapan Sepinggan
11/18/23,null,Balikpapan Sepinggan
11/19/23,null,Balikpapan Sepinggan
11/20/23,54,Balikpapan Sepinggan
11/21/23,56,Balikpapan Sepinggan
11/22/23,56,Balikpapan Sepinggan
11/23/23,49,Balikpapan Sepinggan
11/24/23,48,Balikpapan Sepinggan
11/25/23,60,Balikpapan Sepinggan
11/26/23,67,Balikpapan Sepinggan
11/27/23,67,Balikpapan Sepinggan
11/28/23,65,Balikpapan Sepinggan
11/29/23,62,Balikpapan Sepinggan
11/30/23,53,Balikpapan Sepinggan
12/1/23,65,Balikpapan Sepinggan
12/2/23,45,Balikpapan Sepinggan
12/3/23,59,Balikpapan Sepinggan
12/8/23,38,Balikpapan Sepinggan
12/9/23,54,Balikpapan Sepinggan
12/10/23,57,Balikpapan Sepinggan
12/11/23,60,Balikpapan Sepinggan
